prefix1,prefix2,prefix3,prefix4,prefix5,prefix6,prefix7,prefix8,prefix9,prefix10,prefix11,prefix12,prefix13,prefix14,prefix15,prefix16,prefix17,prefix18,prefix19,prefix20,session_id,label,situation,gen1,gen2,gen3,gen4,fixed,1
"[seeker] Yes, it's the main way I search. I've seen gas station and fast food jobs posted most lately.",[supporter] don't let this get the best of you just know everything will be ok and you will find a job,[seeker] I hope so. To make matters worse I've messed up my UI paperwork it seems and now that is delayed.,[supporter] we are all going through a tough time right now with the coronavirus going around and it will make everyone get depressed but don't let it get to you,[seeker] I,"[seeker] am trying, thanks for all your helpful words!","[seeker] I am trying to work in the mall now, as I think holidays are going to cause good business. Hope to get something.",[seeker] Maybe I will get a job where I can get a discount!,[supporter] you should go to places and talk to the hiring manager and see if they are hiring,"[seeker] I've tried that a few times, but it hasn't worked out that well...it seems like the managers are usually not there. I need a plan/time that I think I'll have more success. So far it's been hard.","[seeker] I'd like to find a job fair, but they are all cancelled from the pandemic.",[supporter] yes i can understand they are never there when you go try to talk to them,[seeker] Or maybe they are there but they are hiding?,[supporter] but all you can do is try right now,[seeker] I have a feeling most of the places I email just file it in the circular folder.,[supporter] things will get better soon for you and you will get a call from a job,,,,,487,V1,I can not seem to find a job no matter how hard I try. My last job was cut short because of all the pandemic restrictions. I'm so depressed.,"I overheard someone say some places are not hiring because of budget cuts, but they did not name any companies.","How have you been organizing your search, applying broadly or focusing on one kind of role?","I did not catch who said it, and I have not confirmed it. It made me feel like I am wasting effort.","Choose a smaller set of targets and tailor your materials to them, so each application feels more intentional instead of endless and random.",TRUE,
"[supporter] Oh no, I am so sorry to hear that.  So it sounds a bit like you are entering a period of uncertainty and are going to be struggling :(","[seeker] You are very correct, even now my job is one day off one day on","[supporter] Well i know it is difficult, but just wanted to share that I am here for you in these hard times.  And you're so smart that even if you lose this job you will find another one :)","[supporter] Actually currently I am unemployed too actually, although I have a new opportunity starting next month.  So I know it can be rough","[seeker] I am happy for you friend, I pray for my  company not to sack us because it is not easy t fine job now","[supporter] Well have you thought of any next steps to take?  From what I have seen, it is easier to start looking for a new job before you need to leave the old one.  Maybe you could start job searching sooner rather than later?  I might have some contacts that can help",[seeker] Thanks friend I love your style I follow it too,[supporter] Awesome! Let me know if there is anything else I can do to help you in these tough times.  It can be useful to take some time to relax too :) Maybe eat a favorite food or talk with a friend or go on a long walk to destress :),[seeker] I will try to go and meditate on you teach me now thanks,"[supporter] Awesome, meditation can always help make complex problems feel a bit simpler.  And it is okay to feel upset right now, as long as you realize that things will get better, and that you have lots of people supporting you!",[supporter] Anything else i can help you with? Or are you going to go meditate now?,[seeker] No for now thanks talking with you,[supporter] You're welcome! Hope you have a wonderful week :)  Always good to chat,[seeker] Thanks,[supporter] Of course!,[seeker] It is great day for me to chat with today,"[supporter] Yup, again, it is always great to reach out since other people might be going through the same struggles!  I was feeling upset until I messaged you and now I feel happier!",,,,126,V1,Fear of losing my job,"I heard bits of conversation that sounded like layoffs are coming, but it was vague and I do not know who was talking.","What signs at work worry you most, management changes, workload shifts, or the atmosphere?","I cannot say who it was, and I have not verified it, but it scared me.","Update your basics quietly, resume, references, and a short list of achievements, so you feel less exposed even while things remain unclear.",TRUE,
[supporter] I have been in that same situation before! I had the exact feelings you are! But after realizing how much I studied it helped me relax.,[supporter] Have you talked to your teachers about your worrying?,"[seeker] I see. My problem right now is that due to the pandemic and having a lot of time to myself and getting restless, I tend to waste a lot of time doing other things, and procrastinating. So I am catching up and I know I can finish them, but just that I could have done better, so there's an element of guilt and shame involved because I am not happy with my actions on how I handled my studies.","[seeker] No, not yet. It's distance education so it's mostly me studying on my own time (each course runs at a max duration of six months), but I have reached out to them regarding some assignment and exam questions.",[seeker] But I do appreciating your sympathetic tone and that you've gone through this also.,"[seeker] And also I go through things slower and things become more sluggish and not really motivated, whereas before I was faster and more productive and really interested in learning and trying to finish assignments etc as quick as I can, and not take the full 6 months of course deadline.","[supporter] From what I have seen, people who have noticed they are having issues tend to come out ahead! Its great that you are thinking about how to get through this.","[supporter] I also get into slumps with being productive and motivation, I was told when that happens that I just need to take a step back and relax for a little bit.","[seeker] I see. I do see a problem and just last week I kind of started to prioritize things and take things more seriously, as the deadlines wind down. I am a little behind schedule, but not severely.","[seeker] yes I do that too. I understand what you mean. The problem with me is I alternate with relaxation with studying too much, and blurring those lines too much.","[seeker] But yes, I have been going back on track since last week and hope it's not too late to catch up",[supporter] That's really great! I bet you are closer than you think to finishing those deadlines.,[seeker] the stress and panic of the last minute crunch has worked in the past for me in becoming more conscientious,[seeker] Thank you. I appreciate your input so far.,"[supporter] When you are usually in a last minute crunch, what do you do to get past it?",,,,,,944,V1,"Impending assignment and exam deadlines later this month, and next month, with online education.","I overheard students saying the exam format is changing, but nobody sounded certain and it threw off my plan.","What are your next two deadlines, and which one feels most at risk if you get overwhelmed?","I cannot tell if it is definite. People keep repeating it, but no one has proof.","Build a study plan around core concepts and practice that works under either format, so rumors do not reset your strategy every day.",TRUE,
"[seeker] I am not feeling the best. I have been having some depression, because of not being able to see friends and family during this pandemic.","[supporter] Oh, boy, do I know that feeling! How are you dealing with it? (if I may ask)",[seeker] I try to message them as much as possible and call them on the phone but it is just not the same as actually getting to give the a hug and see them in person.,"[supporter] I know that. I use Zoom, just to see them...do you have a computer?",[seeker] Yes. That works for some of my family but I have family in the nursing home that does not have access to computers. I haven't seen them in several months. It just breaks my heart.,"[supporter] Oh. I can feel it. I have someone who's sick as well. Do you have any one friend with whom you can share your feelings, your depression. I understand you're having issues with depression, right? It sometimes helps me to feel that we're all in this together. And, at the other end of this, we will be able to give the biggest hugs ever!",[seeker] Yes. I have some very dear friends that have helped me a lot. I guess the depression is just worse because it is the holidays and this is the first year that I haven't got to spend it with my extended family members.,"[supporter] Oh....That's so tough...it being the first year!!!! Sometimes, I cry (I cry with my cat), and just to say the feelings out loud makes me feel a bit better.",[seeker] Yeah. I have a little dog that has been my cuddle buddy. I have had him for 13 years so he has seen me ugly cry many times. What are some things you do to deal with depression?,"[supporter] I try to read, watch programs or podcasts that take away my negativity. Anything that will give me a lift, so that my own depression won't get so bad that I can't remember what it felt like to be a bit happy.",[seeker] That sounds like some good advice. I think I will try to find a good podcast or a good comedy series that I like and spend time doing that. It's hard to be sad when you are watching something funny or listening to something funny. Thank you for the good advice and the listening ear.,"[supporter] I wish that I could listen to more....this thing is so slow. Remember, we 're all in this together, and we will come out the other end. Isn't it OK to be happy a bit, even though this takes such a toll on so many people?",[seeker] That is so true. I guess we tend to feel guilty if we feel happy since there is so much sadness in the world right now. But you are so right about the fact that we will come out on the other side. It helps to remember that bad things don't last forever.,"[supporter] Yes, and are you somewhere where you can walk or exercise a bit? I always feel better if I can move around...dance...something active. What I find helps me the most is to remember that we need to stay safe and be OK, so that we will be here to celebrate when this is over.",[seeker] Yes. I live in the country so I can go for nice walks when the weather is nice. Staying safe is definitely important right now.,"[supporter] Oh...it's fortunate that you live in the country. Can you take some deep breathes and watch the trees, the animals, and nature....they are all here for us???",[seeker] Yes that is exactly what I do. Thank you so much for your help today. You have made me feel better just having someone to vent to.,"[supporter] Keep venting, if it makes you feel better. I know I do when I can talk to someone I don't know. Is it nice where you are today, so that you can look at something bigger than the indoors?? That often helps me feel better.",,,21,V1,Not being able to see family and friends due to Covid.,"A friend told me a relative in a nursing home is not doing well, but they were not certain and I have not heard it directly.","Who is the best person to contact for reliable updates, staff at the home or a close family member?",I have not confirmed anything. It sits heavy on me and I keep imagining bad news.,"Plan one small check in step and then give yourself permission to pause, so uncertainty does not consume the entire day.",TRUE,
"[seeker] I don't want to cry sorry, I want hit something",[supporter] Have you considered punching a bag in the gym? That can be a great way for you to release that anger.,"[seeker] It would be great, unfortunately I don't go to gym",[seeker] Should I ring him and tell everything I feel about him?,[seeker] What do you thing,[supporter] You could definitely call him and express your feelings to him as that would be another great way to get how you're feeling off of your chest.,[seeker] I will then definitely ring him. Also I feel so sad because we have a lot of friends in common,"[supporter] I definitely understand how you feel, I've been in the same situation where I'm not friends with a particular person but we have the same friend group. It may be hard in the beginning but the tension and awkwardness should get easier as time goes on. I would suggest that you hang out with these friends without this other friend you're having issues with.",[seeker] That's for sure but then friends need to decide who to invite,[supporter] That's okay. Sometimes it may be you or other times it may be him that gets invited but that's how things will be since the situation transpired.,"[seeker] He did a such stupid thing, now he now only myself and he is affected but also our friends",[supporter] That's very true. Don't bring the situation to your friends though because they had nothing to do with it. Only the friend who did the action should be affected.,[seeker] yeah true.,[seeker] Thank you for you help I will ring him soon,"[supporter] No problem, I really hope that you can get a peace of mind from this situation. I wish you the best of luck!",,,,,,1141,V1,My best friend flirted with my wife and asked if she wants to have sex with her.,"I overheard him hinting he wants to be more than friends with my wife, but it was indirect and unclear.","How have things been between you and your wife since then, more tension, more distance, or more reassurance?",I am not certain. It sounded suggestive and it makes me angry and uneasy.,Focus on defining boundaries for friendships going forward and get on the same page with your wife about what is acceptable.,TRUE,
[supporter] I am sorry to hear that. Would you like to talk about anything specific?,"[seeker] thank you, I just don't know what else to do to get a job?",[supporter] So you're unemployed? I am sorry to hear that. Are you prepared to take jobs that are below your usual level just to get by for a while?,[seeker] have tried that but don't even get an interview,"[supporter] It's a very difficult time to be out of work, I know. I hope that there is something out there for you. Have you tried employment agencies?","[seeker] yes, I do not qualify for unemployment because I have savings above the min threshold and I also have rental property, which is currently loss making and I can't sell it because it's 30% below market value","[supporter] Well, on the plus side at least you do have savings .. hopefully this can give you some security for a while",[supporter] Are your family being supportive of your situation?,"[seeker] it's almost depleted, been out of work now for nearly 9 months but still can't get unemployment support because of the property that I cannot get rid off else I will declared bankrupt by the mortgage lender",[supporter] Perhaps bankruptcy might not be a bad option? You would be eligible for some help then at least.,[seeker] family is not being fully supported compared to when I had full time job. had to get rid of one car and other things just to get by,[seeker] but the cost is 7 years of my future???,[supporter] So you feel as though you have been working hard all your life and now you need help and support and are not getting it,"[seeker] very well put. seems i am being penalised for working hard, saving and investing? I should have been on more holidays and lived all the way above my means!",[supporter] I know how you feel .. I sometimes feel I would have been better off if I'd just not bothered working!,[supporter] Anyway thank you for talking and I really hope things go better for you in the future :),[seeker] thank you for your help.,[supporter] You're welcome :) You need to press quit first and take the survey before I can :),[supporter] hello? :),,5,V1,the uncertainty surrounding the corona virus pandemic. the unavailability of jobs. lack of success get jobs applied for. No ease or comfort of end being in sight,"I heard people saying rental properties are selling cheap and it triggered a lot of worry, even though I do not know the real situation.","What is weighing on you most right now, job uncertainty, financial pressure, or the feeling there is no end in sight?",I cannot confirm anything. It feels like I have to make decisions with incomplete information.,"Write down your immediate priorities, cash flow, stability, health, then use that to guide choices instead of reacting to every new piece of chatter.",TRUE,
[seeker] I am having ongoing depression.,[supporter] I'm very sorry to hear that. The fact that it is ongoing must make it even harder.,[supporter] What symptoms do you have and when did it first begin?,[seeker] I have the symptoms of sadness and anxiety. It first began a couple of weeks ago.,[supporter] I see. Are you sad or anxious about anything in particular?,"[seeker] Yes, I am sad and anxious about the coronavirus. I miss seeing my friends and family.","[supporter] It sounds like you must really care about your friends and family, and this awful pandemic is prevent your from seeing them.","[seeker] Yes, definitely. I hope the pandemic will end.","[supporter] I know this may sound personal, but it is completely normal to have these thoughts though... have you thought about dying at all?","[seeker] I haven't thought about dying at all. I take medication each day for my depression, but there are times when I still feel sad.","[supporter] Okay, thanks for sharing that personal information. I only ask because thoughts of suicide are normal and anxiety and depression increase the chances of suicide.","[seeker] You're welcome. I understand, but I am not suicidal.","[supporter] What would you like to talk about, then? We could talk about the problem more, or if you feel like it is defined, we could talk about solutions, or not talk about solutions at all. What would make you feel better?",[seeker] I would like to talk about solutions since I feel like the problem is defined.,"[supporter] I know what it is like to be depressed. I also take medication for this. For solutions, studies show that working out and exercising can help depression. Have you considered this?",,,,,,244,V1,"Since I have to practice social distancing and isolate with the pandemic, I have been feeling more depressed. I miss hanging out with my friends and family.","I overheard someone suggest my friends are meeting up without me, but it was vague and I do not know if it is true.","When you feel excluded, what do you usually do, withdraw, reach out, or replay it in your head?",I am not sure. It made the loneliness feel sharper.,"Plan one small connection you control, text one friend or set up a call, so your social world is not built only on guessing what others are doing.",TRUE,
[supporter] Why didn't you report it?,"[seeker] I don't know now, I've just started there 1 month ago and probably I thought I will lose my job straight away",[supporter] You should report it because at least the boss knows that you are honest with your actions.,[supporter] I don't think you won't lose it straight away if it is your first mistake,"[seeker] Yes I know and I regret it now, but I think to go report now it's too late","[supporter] It's never too late, and it would be better to do it now than let him find out himself :)",[seeker] On a training they told that need to report any accident straight away and if delay it will result in losing job for sure,[seeker] I know I did wrong and it bothers me as I don't want to lose my job,"[supporter] Yes but if you report it now you still have a chance of being let off, but if u don't report it now, you would almost certainly lose your job.","[supporter] In any case, always prepare for the worst circumstance at this point",[seeker] But also there is a chance they will not find out?,"[supporter] They most likely will, so it is better not to use that chance",[seeker] It's quite large warehouse and I know they have old cameras there,"[supporter] In any case, it is always better to tell the truth, because you don't want to have the truth boiling up inside of you for a long time. Thats what I say",,,,,,,1142,V1,I've made an accident at work in warehouse and didn't report it,"A coworker said accidents like mine lead to termination, but they did not sound confident and I do not know the policy.","How have you been feeling since the accident, anxious, guilty, or mainly worried about consequences?",I cannot tell what they meant. It sounded like reporting could backfire and now I feel stuck.,"Check the official reporting policy or ask a neutral question to HR, so you are not making decisions based only on coworker talk.",TRUE,
[seeker] I have a co worker who sleeps all the time at his desk.  I physically work hard everyday,[supporter] I can understand how you are feeling.,"[seeker] It makes me mad.  No one says a word to him, he just sleeps and gets paid for it.",[supporter] Has anyone else noticed him sleeping all the time at his desk?,[seeker] My boss said (I have been there for five years) to me one day did I see DE sleeping at his desk? I was floored that it seemed he never saw him do it before.  How could he not?,[supporter] That is really weird how can someone not see him sleeping at his desk,[seeker] Very weird.  I am one of the oldest men there and I am always expected to jump in and do work that is manual labor.  Very frustrating to see someone else just sleeping.,[supporter] Have you talked to your co worker about it?,"[seeker] It really would not be my place, it would be up to my boss.  He obviously said nothing.",[supporter] if your boss said nothing to him then maybe you should step up and say something even though you are right that is not your place,[seeker] I keep hoping that one of the upper management team will walk by one day and see him.,[supporter] Your boss does not sound like a good boss at all and not doing his job correctly,"[seeker] Definitely not being fair across the board, in my eyes.",[supporter] i feel like you should have like a serious talk to your boss about it,"[seeker] You're probably correct.  I may feel better just getting it out, even if the situation does not change.",[supporter] I don't want you feeling how you feeling because you are doing your job and you are doing everything you can to solve the problem,,,,,182,V1,"I work very hard, physically hard and I am not a young man anymore My boss seems to not notice another supervisor on the same level as me sits in his desk chair and sleeps! Everyday!","At lunch I caught a quick comment that DE is being considered for a promotion. It was said like it was normal news, and it really got under my skin.","How has this been affecting you day to day, your energy, your mood, or the way you show up at work?",I did not hear who started it or what the reasoning is. It just made everything feel unfair again.,"Before trying to decode the promotion talk, focus on what you want to change for yourself, recognition, workload boundaries, or a clearer conversation with your boss about expectations.",TRUE,
[seeker] Not doing well.  I cant believe my girlfriend dump me for someone else.,"[supporter] Oh no, how long had you been together?",[seeker] we were together for 2 years.  It was such a surprise when she sprung this on me.,"[supporter] Wow, that's horrible. How do you feel about it?",[seeker] I feel lost.  I'm so used to her being around everyday. Now I don't know what to do with myself without her.,"[supporter] I understand, I was with my wife for 4 years before she up and left without saying a word.",[supporter] That can be a hard thing to go through especially this time of year,"[seeker] Not only that, but with Covid going on I have noone i can see to talk about it.",[supporter] Do you have any family?,"[seeker] Yes, i do, but they are far away.",[supporter] Friends closeby?,[supporter] Hobbies?,[supporter] What kind of work do you do?,"[seeker] I do have friends, who are also friends with her. However they have families and do not visit prople because of covid.",[seeker] I don't have any true hobbies. I don't think they will fill the void anyways.,"[supporter] Well you know, I have found sometimes that we need time to ourselves in order to fully understand how we need to grow.","[seeker] I do software development, but its a work at home situation.  So i have been just by myself for the last week, and its driving me crazy.  All i do is think about why she would do that.",[seeker] I've had time to myself but its not getting any better.,"[supporter] I have always tried to think of things in a positive way. This way even when something really bad happens, it doesn't seem so bad as to overwhelm us from recovering.",,92,V1,My girlfriend of 2 years left me for another person.,"Someone we both know hinted that she is already seeing somebody. No details, just that kind of casual remark that sticks in your head.","When you hear that, what feeling hits first, anger, grief, jealousy, or numbness?","The story was vague and second hand, so there is nothing solid to hold onto, only the sting of it.","Right now the rumor is pulling you away from what you actually need, support for the breakup itself, so let’s stay with your pain and what helps you get through the next few days.",TRUE,
"[supporter] I completely understand, and I don't think you should beat yourself up over it!","[seeker] That's a fair point. I shouldn't be too hard on myself.  I didn't really grow up in a romantic family. I don't know how to do that stuff, but maybe I could learn.","[supporter] Exactly, and remember everyone is different, perhaps you just weren't her right one, and that can go both ways.",[supporter] Do you want to improve for her? or for yourself do you think?,"[seeker] That's true. I really got hung up on her. I thought she was perfect and that we were perfect together. She didn't see it that way. I can't really change who I am, and she couldn't change who she is.",[seeker] I don't know if I can change myself for her. Maybe there is something basic that she wants that I just don't have? I should probably change for future relationships.,"[supporter] That's a great line of thought, its good that you're able to identify that yourself",[seeker] What do you think I could do to improve myself?,[supporter] I suggest that you stay exactly the way that you are. I feel like you'd be happier that way and also more likely to find someone who shares the same values as you,"[supporter] If you change who you are, it sort of means that your ex still has a hold on you, you know?",[seeker] Will the same problems show up in the next relationship though? It could be a long search before I find someone that matches with me?,[seeker] That's true. But I feel like I should take away something from this experience.,"[supporter] I guess that depends on you, would you rather compromise for a relationship or find one who'll really last and not have to change?",,,,,,,,1175,V1,Girlfriend dumped me for someone else!,"I overheard her talking and it sounded like she has someone new in the picture, but it was a fragment and I walked away.","What part is hurting more right now, the rejection, the comparison to someone else, or the sudden change in your daily life?",It was not a clear statement. More like tone and hints that my brain is trying to turn into a full story.,"Instead of chasing the missing details, choose one grounding thing for tonight, food, shower, short walk, or calling a friend, so the spiral does not run the whole evening.",TRUE,
[supporter] Hello. How are you?,"[seeker] Hi, I'm coping with losing my boyfriend to another woman and can't deal.",[supporter] I am sorry to hear that. You deserve better,"[seeker] Thanks, I'm just still in shock.",[supporter] I understand you. I went through similar situation,[seeker] I just don't know what to do.,[supporter] Do you have any friends you can hang out with to get your mind off him?,[seeker] That would be a good idea.  Although it's a little hard with COVID restrictions.,[supporter] How about treating yourself to nice relaxing bath and good book ?,[seeker] That sounds wonderful.,[supporter] You should focus on yourself and remember you are a amazing woman!,[seeker] Thanks for the support.  Is it too early to start a new relationship?,[supporter] If you are sure you are ready for it then No. However make sure you dont judge them by previous relationships.,[seeker] I have to think about it more but I am lonely already,[supporter] I understand but wouldnt you rather be alone and focusing on yourself instead of miserable relationship?,[seeker] I am thinking of pursuing a new relationship and hoping to move forward,[supporter] I think that would be a wonderful idea for you.,,,,675,V1,How can I cope with losing my boyfriend to another woman?,"After the breakup, a small piece of information surfaced that he may already be with someone else, and it made the loss feel sharper.","What have you been doing when the thoughts spike, do you reach out, shut down, or replay memories?","The source was not something you can verify, so you are left with uncertainty and a lot of emotion.","Staying focused on coping skills in your control will likely help more than trying to confirm what he is doing, so let’s talk about what makes the next hour easier.",TRUE,
[seeker] i have tried yoga and don't like it.   I don't have a garden but i do really enjoy and appreciate my houseplants,"[seeker] i don't feel comfortable on video, i don't know why, but that is a good suggestion","[supporter] If we thing more about the current depressing situation, it drag us more into it. Better to give less attention to it.",[seeker] so try to find things to keep busy and distracted then?,[seeker] and not think about this stupid pandemic more than i have to?,"[supporter] yes! you can do face time, Share jokes and any fun moment of past.","[seeker] i like the idea of sharing jokes.  humour definitely helps, i try to watch funny stuff on tv",[supporter] You should give less attention to it. and engage yourself in the activities that you enjoy.,[seeker] ok that's good advice....thankyou...and it just helps having you listen,[seeker] i have to go,"[seeker] thankyou for your help, i really appreciate your ideas and support",[supporter] You can go out for a walk with precaution or you can spend sometime in your backyard,[seeker] walks help for sure!,[supporter] stay safe and have a wonderful time,[seeker] thankyou you stay safe too,[seeker] bye,[supporter] bye,,,,1094,V1,having to stay in my apartment all the time due to  covid.  i have a pre-existing condition that puts me at risk.  i feel isolated as a result.  i need social contact to feel better,"In the hallway I heard neighbors chatting about people getting sick nearby, and it made my isolation feel even heavier.","What support do you have right now, any friends or family you can reliably talk to during the week?",No clear names or facts were mentioned. Just enough to trigger fear and make the building feel unsafe.,"Let’s plan one safe connection step today, a scheduled call or a short online hangout, because your need for contact is real even while you stay careful.",TRUE,
"[supporter] Hello there, how is life going for you right now?",[supporter] Is there anything on your mind that you would like to talk about?,[supporter] I am happy to listen if you want to talk.,[seeker] so sorry i had stepped away,[supporter] I have been having a bit of a bad time in life lately so I can understand and empathise if you are too,[seeker] i heard the bell ticking and kept wondering what had happened and what it was,[supporter] That is no problem! What would you like to talk about?,[seeker] this is how my mind is won- dering so much now,[supporter] Okay... do you feel that you are having trouble concentrating?,[seeker] i just need to hear the voice of someone now as i am into myself so much,[seeker] bad time to be alone as the miind keeps wanting theings for me that i had left alone,"[supporter] I hear you. It's been a very bad year for everyone, what with the pandemic and everything.","[seeker] so much stress here with deaths in family, aloneness and bills",[supporter] Has something specific happened that you'd like to talk about?,[seeker] yes not to mention the pandemic,[seeker] i forget to wear my mask from home mostly mine is gone,[seeker] and swind up hving to buy one somewhere out there or come back home,[supporter] I am so sorry to hear that. Are you aware that there are agencies out there who could offer you help and advice?,,,348,V1,"years of drug abuse, cheating,     fighting , and outside children, family meddling and all the lies and homelessness have cost me much anguish and now that we are gtting a divorce, i am sad for all the time wated. and even though i have years of sobriety since the day i walked out on the katrina tail, i feel like smoking again and pray i don' start to drink to relieve this feeling i have, do you have any suggestions that would help me?","A friend dropped a rumor that my partner is seeing someone, and it landed on top of everything else that is already breaking me down.","When the urge to smoke or drink shows up, what time of day is it strongest and what usually happens right before it hits?","I cannot verify the rumor, but my head grabs it as proof that everything was pointless.","Your sobriety matters more than this rumor right now, so let’s focus on a relapse prevention move you can do immediately, a call, a meeting, getting rid of triggers, or sitting with a craving timer.",TRUE,
"[seeker] Not too good, I've just been feeling really tired lately. I haven't had the energy to do anything no matter how hard I try","[seeker] Then when I do manage to do something, I'm just so sad that its hard to find the motivation to put any effort in",[supporter] What do you do for a living?  Are you stretching yourself too thin?,"[seeker] I'm a freelance writer so I can choose my own hours. I haven't been going over the top with my hours, I'm definitely doing less now than I did before",[supporter] Sometimes I find that when I am doing less I end up being more exhausted.,"[seeker] Yeah, the more I sleep the more I want to sleep. The fact that I don;t have set hours means that I just stay in bed for ages before a deadline",[supporter] Have you been spending any time outside or exercising?  Science has shown that boost of endorphins you get from sunlight or exercise can help with energy.,[supporter] I understand that it is easy to stay in bed all day until you absolutely have to do something.,[seeker] No we're back in lockdown here so I've been staying inside unless I need groceries and stuff,[supporter] Not having motivation is a tough feeling to overcome.  I think a lot of people are suffering with this issue due to todays current affairs.,"[seeker] Yeah I honestly think that's what's affected my mood, it doesn't help that my uncle recently got diagnosed with covid",[supporter] Do you think it could help you if you tried to spend some more time outside or exercising?,[seeker] I'm just burnt out I think.,[seeker] I have stopped exercising so that's something to consider,[supporter] Even if you just do something easy like a walk around the block.  Or sit in front of a window while the sun floods in on you.,,,,,,666,V1,I've just been feeling tired and sad lately especially with everything that's going on,"A friend told me my uncle is getting really sick, but the message was short and confusing, and now I feel stuck in worry.","How close are you to your uncle, and who in your family would know what is actually going on?","The details were missing, so my mind keeps filling the blanks with worst case images.","It makes sense that your mind would jump to worst-case scenarios when information is unclear. Reaching out to someone who can give you a clearer update could help ground you, and in the meantime, we can focus on what’s actually known rather than what your worry is imagining.",TRUE,1
[seeker] Hi im good,[seeker] How r u,[supporter] I'm well.  How can I help you?,[seeker] I'm a bit confused what I should do. I've been laying low for now. I think I guy I dated might still be interested. But there is another one who is interested now. But he hasn't stepped up yet. Not sure if I should forget about both of them and stay single,[supporter] It sounds like you are struggling with deciding on your relationship with partners.,[seeker] yeah. not sure if either one is worth it or not,[supporter] It's good you are asking yourself questions.  What do you want out of the relationships?,[seeker] Something normal! Im fine with being single too. It comes with a lot less drama.,[supporter] It sounds like the relationships give you a lot of drama.  What do you crave in a relationship?,[seeker] companionship and nonconditional support. committment and that is hard to find out here these days. a lot of guys want the physical without the commitment. I'm getting too old for those games,"[supporter] I understand where you are coming from.  I've seen a lot of men in relationships not be so committed for real, but just like the physical part.",[seeker] yep. like my aunt said why pay for the milk when you can get the cow for free. i've done that for years and im getting tired of it. not to mention my libido is slowing down so i see things clearer,"[supporter] Just from chatting with you, I see that you feel like you want more from the relationship and would like commitment on more than one level.",,,,,,,,615,V1,"I broke up with a guy. I still talk to him. He might want me back-not sure. There is another guy who is interested in me now, However he's going through a divorce and keeps putting off seeing me.","Someone mentioned my ex could be seeing someone else, and it instantly made all the mixed signals feel more confusing.","What do you want most from your ex right now, clarity, closure, or space to move on?",Nothing is confirmed. It just adds noise to a situation that already feels messy.,"With so much uncertainty, it might help to slow things down and check in with what feels healthiest for you right now. Rather than reacting to rumors, what would make you feel more secure and respected in your relationships?",TRUE,1
[seeker] how are you today,"[supporter] Hello , what is it that is bothering you?",[seeker] i haven't been feeling too good recently. i have just been generally depressed,[seeker] i am a bit worried,[supporter] So you have been just generally feeling down and worried about everything?,[seeker] i am worried a bit about loosing my job,[supporter] I understand why that can have you worried. Have you been told this is a possibility?,[seeker] no but i just don't get a good vib,[seeker] vibe,[supporter] Have you talked to co workers or others about this?,[seeker] my coworkers are almost always unavaible. and be cause we are all working remotely they just dont' answer ims,[supporter] This is a worry that many others are having right now. Maybe there is an online group that deals in this type of worry.,[seeker] that's a good idea! you mean within my company though?,"[supporter] If your company has that, otherwise there are online chat groups that would.",,,,,,,275,V1,i keep feeling as though i'm not doing well. i have a job but i don't seem to be very good at it and i don't want to lose it. i am fearful that i will,"I heard a coworker mention downsizing on our team, and it spiked my fear because I already feel shaky about my performance.","When you think you are not doing well, what is the evidence you point to, mistakes, feedback, or just a feeling?","The comment was vague. No timeline, no names, no official message, just enough to trigger panic.",It sounds like the rumor hit an already vulnerable spot for you. Maybe we can separate what’s confirmed from what’s assumed and then look at one small action that would help you feel steadier in your role this week.,TRUE,1
"[seeker] Very true, thank you for the perspective","[supporter] So, what sort of clothes do you think you are going to buy? :)",[seeker] Possibly a new dress or two,[supporter] Sounds like a great idea. I bought a fantastic maxi dress recently. Very flattering for those of us carrying an extra pound or two,[seeker] I love flowy dresses for that reason,[seeker] do you do anything else when you are feeling bad about yourself?,"[supporter] I like a nice facemask and a bubble bath, do you?","[seeker] I like doing my makeup and getting dressed up, even if I have nowhere to go",[supporter] That is a good thing to do .. great for the self esteem. Maybe buy some new jewellery too?,[seeker] I like the idea of pampering myself. That is something I don't do too often,[seeker] and I need to do it more. Perhaps I will feel better then,[supporter] You need to indulge yourself from time to time :) Get yourself a nice bottle of wine too. Though maybe not chocolate :D,"[seeker] Haha, yes, perhaps not those :)",[supporter] Anyway I hope you are feeling a little better now ! Thank you for talking!,,,,,,,1028,V1,"I hate looking at myself in the mirror, every time I do I feel like the ugliest person in the whole world. I feel like nobody will ever love me.","I overheard him talking about spending time with someone else, and my brain instantly turned it into a story that I am not enough.","When you have the thought nobody will ever love me, what do you usually do next, isolate, seek reassurance, or criticize yourself?",I do not know what he meant. It was a few words and now I am stuck comparing myself to an imaginary person.,"It’s understandable that your mind connected those few words to your deeper insecurities. Instead of trying to decode what he meant right now, can we pause and look at how harshly you’re speaking to yourself and what a more balanced thought might sound like?",TRUE,1
