prefix1,prefix2,prefix3,prefix4,prefix5,prefix6,prefix7,prefix8,prefix9,prefix10,prefix11,prefix12,prefix13,prefix14,prefix15,prefix16,prefix17,prefix18,prefix19,prefix20,session_id,label,situation,gen1,gen2,gen3,gen4,fixed,#,
[seeker] I think so too. I never thought of it like that.,[supporter] I'm sure that you are trying your best to be both a good student and a great parent. It is understandable that you may not have considered those options.,"[seeker] Yes I constantly think of my son and family, and I didn't think involving myself in sociable activities  would be beneficial.",[seeker] I figured I really needed some alone time. I didn't realize I could be experiencing loneliness.,[supporter] It is so admirable that you are acting so selfless.,[supporter] Are you aware of any activities that you can participate in that can include your family? It could be the best of both worlds.,"[seeker] Yes, we like to go swimming at the YMCA together.",[supporter] That is great! Physical activity has been shown to reduce stress levels.,[supporter] My sister-in-law really benefits from having her sons in sports. She is able to connect with the other team moms and considers them some of her best friends. Depending on your YMCA your son may be able to participate in some of their programs?,"[seeker] Yes, and swimming is great exercise.",[seeker] And if we do that more we can spend more time together.,[seeker] I have been looking into putting him in soccer.,[seeker] He can start at 3 years old.,[supporter] Soccer would be a perfect way for both you and your son to interact with other people of similar interests.,,,,,,,928,Normal,"I decided to go back to school to complete my Master's degree, but I feel really overwhelmed between being a parent, having a career, and going to school at the same time.","Soccer might help my son make friends, and I want that for him.","That is a thoughtful goal. What feels realistic for you, just signing him up or also connecting with other parents?",Maybe talking to other parents a little.,Even one small connection after practice can help. You do not have to build a whole community at once.,TRUE,21,
[supporter] I felt the same way as you when your closed family members pass away,[supporter] I would share my feeling with someone that I felt closed or some family members or your spouse that you can share your feeling.,[supporter] Do you try to talk to anyone about your feeling?,[supporter] Or someone that close to you that you can share your feeling with?,[seeker] My husband is here. He is very afraid of the virus because of his COPD.  He i afraid to talk about the virus.,[seeker] I just moved to this town where there are not so many people because of thi.,[supporter] Maybe try to talk about something that he is very interesting and help him away of focusing on COVID.,[seeker] I have not really met anyone like a friend but I do Zoom daily with family at home.,[seeker] I do pray alot.,[supporter] That is very good that you share with your family and pray if that helps you to relax.,[seeker] I workout to relieve the stress.,[supporter] And I felt the same way that COVID time is difficult to all of us,[seeker] I am also in the healthcare field but work at home.,[seeker] I am one of the fortunate office workers who can do this.,[supporter] Very good! Workout is another way to relief your stress,,,,,,95,Normal,"My mothers new husband has just died f corona virus last week. He was a deacon in church and she was only married 10 months when he died. On top of this she also caught the virus but came through it unharmed. She was able to be in the same room as him before they let her go from the hospital so she was able t say goodbye. Still, this is so devastating.","I am trying to comfort my husband, but I do not always know what helps.","You are holding so much grief and also trying to support someone else. When your husband worries, what is he worried about most?",He worries about everything and stays tense.,Gentle reassurance plus a small routine can help. Maybe a quiet evening together with something familiar could ease him a bit.,TRUE,22,
[supporter] I think there is a way to handle any situation. Have you had an honest and open conversation with your wife on both of your feelings on the matter?,[seeker] yes very open and honest.  Turns out she has some form of cancer and it is the cause of not being able to have anymore kids.,"[supporter] I am so sorry to hear that your wife has cancer. I have had an ill loved one and I know how difficult that can be, not just for the person going through it but for the family too.",[supporter] How do you feel about not having any more kids?,"[seeker] yes very stessful. I want more kids.  I have only had 2 of my own, 1 with my wfie 1 with my former partner.",[supporter] I see. And is it a deal breaker for you if you cannot have any more kids? Would you be willing to stay with your wife and be content with the children you already have?,[seeker] no not a huge deal breaker.  But it is at the same time.,[seeker] Its a hard situation,"[supporter] I understand, it is a very difficult situation",[supporter] What is more important to you? Your relationship with your wife or having another child?,[seeker] a little of both i suppose.  Its so hard to choose.,[seeker] I guess time will tell...,"[supporter] Yes, it's tough. Maybe you should think about both scenarios and write down how it would make you feel. Picture being without your wife and how would that make you feel. Then picture being with your wife and your current family and how that would make you feel.",,,,,,,,1260,Normal,My wife of 6 years decided one day last week she wanted to end things.  This comes after finding out we cannot have anymore children.  So its a combination of the 2.,I am trying to support her but I feel overwhelmed.,"This is a lot of loss at once. What do you feel you need most right now, clarity, comfort, or a plan?","Clarity, I am guessing what she wants.","You can ask her directly what support would help, space, talking, or practical help. It can relieve the pressure of guessing.",TRUE,23,
[supporter] did your other friend tell you why they did that?,[seeker] No they just said they just thought I was busy and couldn't attend,[seeker] so im bitter sad about the situation and don't how to address it,"[supporter] It's understandable for you to feel doubtful. I would give them another chance, suggesting a virtual happy hour and see what they say now hat they no longer have covid excuse",[seeker] I was actually thinking about that just wasn't sure about it,[seeker] I really thought we were better than this but I guess not,[supporter] you can never know people until something happens,[seeker] Im needing to bring some new people in my life.,"[supporter] Just give it a try, if all of them have some excuses again, it's time to stop socializing with those friends","[supporter] exactly, it's frustrating but at the same time, a blessing in disguise. Through this you know who actually care about you","[seeker] Im going to do observing of myself and think so over but thank you for your advice,",[seeker] Some observing of myself and think this over,"[supporter] yeah, if they don't care about you, why waste your time on them? Spend that time on treating yourself a good meal or a great movie",,,,,,,,774,Normal,"Ive been trying to get with some of friends to hang out maybe just for a couple hours just to catch up. But no-one seems like they want to be bothered due to covid. But the other day I called this particularly person and she said that they were all out having lunch, So why wasn't I included?",I keep debating whether to message the person who mentioned lunch.,"Feeling excluded hurts. What scares you more, sounding needy or hearing an answer that confirms your fear?","Sounding needy, I hate that.",You can keep it casual. Say you have missed everyone and ask if they want to catch up sometime.,TRUE,24,
"[supporter] I've definitely been there before, it can really hurt.",[seeker] I am extremely depressed after that..,[supporter] That makes sense. How long were you guys together?,[seeker] We have been together for last 2 years.,"[supporter] Oh wow, two years is a long time",[seeker] Yes.. we had out ups and downs during the time..,"[supporter] It sounds like it might not have been the most healthy relationship while it was going on, but it can still really hurt when something like that ends.","[supporter] I went through something similar with an unhealthy relationship that needed to end, but it still hurt for a long time after",[seeker] I did not see this was coming.. happened all on a sudden..,"[supporter] Oh no, being taken by surprise like that can't be pleasant at all.",[seeker] No it was not.. now I am in depression and don't know how to get out of it.,"[supporter] I'm sorry to hear that. Do you have friends you can talk to? Spending time with friends can be a good distraction, and give you people to rant to who know you best.",,,,,,,,,1158,Normal,I broke up with my partner.,The good memories keep replaying and it makes me want to go back.,"That pull is very common after a breakup. When you replay them, do you feel more sadness or more longing?","Longing, mostly.",A small new routine can help your mind shift. What is one simple activity you could do this week just for you?,TRUE,25,
"[supporter] I understand completely. I used to bottle things up too, but I've learned that the people who love you won't think you're a burden if you ask for help or just to have someone blow off some steam.","[supporter] Changes are definitely scary, but they can also be a great opportunity to do something different. Is there anything you want to try doing?",[seeker] I've always been reluctant to ask for help or favors because i keep thinking there will always be a time down the road where i will need something more. it's helpful to have someone remind me that change isn't always a bad thing. thank you.,[seeker] I'll talk to some friends to see if anyone has some good budget cutting tricks. I'll continue to look for a job and i'll try to calm down a little for now.,[supporter] It sounds like you're very self-aware and I think your friends and family will be very willing to lend a hand.,"[seeker] i am  aware of many things including how truly fortunate i am to have my family, friends and health. I really appreciate your kind words and calming suggestions.",[seeker] thank you again.,"[supporter] Yes, your family, friends, and health are all really important! I hope you stay safe!",[seeker] You too.,[supporter] I hope you get to enjoy the coming holidays with your family and friends!,[seeker] and you as well.,[supporter] You're welcome! Have a great day.,,,,,,,,,819,Normal,My current position will be eliminated within 6 months. I am very anxious and concerned that I will likely not find another position at mu current salary level.,"I see roles that fit, but salary worries make me panic.","Six months can feel like a countdown. What is your top priority, matching pay or finding stability fast?","Matching pay if possible, but I do not know how.",We can take it step by step. Want to choose one target role and map your strongest skills to it first?,TRUE,26,
[seeker] so am having a hard time with my friends excluding me in everything because of my religious stance,"[supporter] I have had a similar situation not long ago. It was hard, but once I told my friend it was bothering me, he changed his behavior.",[supporter] Hve you tried talking with your friend?,[seeker] i did tell them but mostly say that they feel uncomfortable cause i dont drink and do all those things,[supporter] It's good that you stood your ground. For that you should be proud.,[seeker] i hardly have friends and the two friends i have are treating me like am no longer one of them,"[supporter] Have you considered, being more active in your religious community? It could be a great place to make friends.",[seeker] i am as active as i can be. they are friendly and supportive but right now they only ever socialize on church events or church. not really a friend i can confide in when facing hardship,"[supporter] It definitely takes time developing new friendships. Have your tired inviting someone from church to hang out, outside of church event?",[seeker] no not really. I am trying to take time to at least get used to some in church first before anything,[seeker] I wouldn't want an awkward silence when we are together.,[supporter] Well that's great that you're taking those first steps. I believe that in due time those friendships will blossom. Patience is key.,[seeker] but does it make me a bad person giving up on my childhood friendships,[seeker] should i try harder to make them see what am doing,[supporter] It also sounds to me like maybe you're over worrying. Have you considered seeing a movie where you wouldn't have to worry about awkward silence?,,,,,,380,Normal,My friends are segregating me because of deciding to be a born again Christian,I feel like I lost my friends overnight.,"That kind of distance can be painful. Do you want to try to reconnect, or do you need time to protect yourself first?","I want to reconnect, but I feel nervous.","You can start gently. Tell one friend you miss them and still value the friendship, without turning it into a debate.",TRUE,27,
[supporter] There are a lot of resources for nannies and child care online. Have you tried signing up for any of those resources?,[seeker] yes i have but because i am also at home with my son for school i need a work from home job which has been hard to find,[supporter] That sounds like a really tough situation. I feel your frustration.,[seeker] it is. no income and bills are pilling up. its a lot to handle,[supporter] Have you explored any other fields of work that would allow you to stay at home with your son while allowing you to work?,[seeker] i have looked on job sites but the work from home don't seem legit and there is a lot of them that are scams. i keep looking daily but having no luck,[supporter] Apparently many companies are moving or switching to moving over to remote work. Hopefully you are able to find something soon.,[supporter] Are there any other resources or options you have explored?,[seeker] no i have not. i guess i just gave up and lost my ambition,"[supporter] Don't beat yourself up for it. You will find something, it just takes a bit of time!",[seeker] thank you for the kind words,[supporter] No problem! I hope your situation gets better!,,,,,,,,,488,Normal,no money and cant find work,"I am trying to stay strong for my son, but I feel overwhelmed.","That is a lot to carry. What is the biggest pressure today, bills, food, or something else?",Bills and the stress of not knowing what comes next.,"Let’s focus on two things, short term support options and a simple job search plan. What kind of work have you done before?",TRUE,28,
[seeker] My friend stopped showing up when he said he would and I slowly stopped answering his calls and texts.,"[supporter] Life is a journey, and as we walk toward goals in our life, people either join us or bring us down.  Sometimes they only walk on the path we are on for a short time, sometimes longer. I have very few friends from High School, 2 to be exact. And only on FB, that was back in 1979 too. lol I'm old, but I have had to move on from destructive relationships, as you are doing now. It can be hard.",[seeker] This is so strange and wonderful connecting with a stranger about this! Wow. That's true. I kept trying to get my friends clean and to work on a hobby with me but drugs destroyed my two best friends and killed one of them.,[supporter] Ouch! That sounds hard. I had friends like that too. I had to walk away. Has your friend asked you why you are ignoring him? The reason I ask this is because it's good to get some closure and let them know their behavior is destructive and you need space from that.,"[seeker] No, he seemed to respond with pride. He deleted his facebook and never talked to me again after that.","[supporter] I have learned in life that unhealthy people run from problems, healthy people stick in the mud with you and try to work out issues.",[supporter] Have you other friends?,[seeker] True. It's hard to connect with people after high school. The mindset of high school is make friends and the mindset of adulthood is survival.,"[seeker] No, not now. I am married though.","[supporter] Yes, and as you grow and mature, your life goals change, not everyone will travel with you. Right now you are starting out, I'm in the retired stage, lol Now I'm interested in helping younger people. It's amazing how our priorities change.",[seeker] Yeah some people just don't want to do anything in their lives...,"[supporter] I've basically figured out life only makes sense with God, and I don't worry about a thing now, very little upsets or angers me, it truly isn't worth it.  A LOT of people have no goals. I think this is actually a good time to examine the year, what you did right, what you didn't do so right, and where you want to go next year.  I think self reflection is good for us.",[seeker] This year has been a great test for us all and a call to faith.,"[supporter] A young neighbor just stopped by today, and he just moved out of his home, he is consumed with HOW do I pay the electric, HOW do I budget? How do I cook?  lol Like it is so interesting to see the journey in life. And my faith in Jesus Christ is really the most important thing.",,,,,,,45,Normal,My best friend finally stopped showing up and stopped replying to my message.,I keep imagining what I would say if he ever came back.,"Silence like that can feel like abandonment. What do you want most, closure or repair?","I want answers, but I also want to protect myself.",You can be honest and still set a boundary. You can say the disappearing hurt and you need reliability if the friendship continues.,TRUE,29,
[supporter] It sounds like you feel your friends are too busy for you.,"[seeker] Yes, but the biggest part is not being able to find romantic partner.",[supporter] Why do you think you are having trouble finding a suitable romantic partner?,[seeker] Part because of my low income and part because of my age. I live in a college town and most single women are 10 years younger than me.,[supporter] Sometimes meeting people through mutual friends is helpful. Have you asked any of your friends if they could introduce to you people they know?,[seeker] I've tried but my friends don't have very large social circles and most mutuals are already dating or are not interested in dating anyone at all.,[supporter] I can see how that would make it difficult. What about internet dating or going to a single's night?,"[supporter] I am sure if you get yourself out there, you will definitely meet a great partner for you.","[seeker] Internet dating is a cost issue, the most popular apps charge to meet the person, I could look at singles nights once the Covid issue is over. I don't even know if there are any locally.",[supporter] It seems Covid is making dating difficult for everyone.,[seeker] I hear that from people. I wish I had Covid as an excuse instead of just being confused about why I can't find someone.,[supporter] It is reasonable to use Covid as an excuse. I am sure there are plenty of women out there who are also confused about why they can't find someone.,,,,,,,,,813,Normal,"Haven't been able to find a companion for years, loneliness has driven me to depression.",I am thinking I should change how I try to meet people.,"That sounds like a meaningful shift. What feels more appealing, meeting through activities or trying a different approach on apps?","Activities, like groups or classes.",That can work well because it builds connection naturally. Pick one group you genuinely like and aim to show up consistently.,TRUE,30,
[supporter] It is not your fault. It's actually your ex's problem. There is nothing to feel ashamed of,[seeker] Thanks for the encouragement.,[supporter] You can actually use this as a motivation to show your ex how much he missed,"[seeker] I think he is missing out on a lot, but he isn't going to realize this now.","[supporter] yes that's the right attitude. As long as you are determined, I believe you can do anything you want.",[seeker] Do you think someone else will love me for who I am?,"[supporter] Of course, you will find the right one soon.",[seeker] How can I move forward?  Should I try to get him back and get him to realize he is not looking at my heart?,"[supporter] Use the time you have now to invest in yourself. When you're the best version of yourself, the right person will come to you natually",[seeker] Can I invest my time in anyone from outside my neighborhood?,"[supporter] No, there is no reason trying to win that guy back, Even if he comes back after you get successful, he's after your status, not you yourself.","[supporter] Of course, however, the best person will come in your life when you're not looking",[seeker] That sounds like good advice.,"[supporter] As I said, good things will eventually come to you",[seeker] Thanks so much.  That is reassuring.  I'm starting to feel better.,"[supporter] If you feel lonely, talk to your friends and share your feelings with them",[seeker] That sounds like it will be helpful.,[supporter] I hope you feel better,[seeker] I am feeling so much better.  Thanks!,[supporter] I'm glad I could be a bit help for you,621,Normal,I am sad about finding out my boyfriend broke up with me because he saw where I came from .,His words about my background keep hurting me.,That kind of judgment cuts deep. What do you tell yourself when the thought comes back?,"I try to say I am more than my background, but it is hard.","You are right, your worth is bigger than that. If it helps, write down a few strengths you know are true about you and return to them when the sting hits.",TRUE,31,
"[supporter] There are many counselors who specialize in this field of job security and especially during this pandemic and the falling economy, they are great support systems.",[seeker] I am having a hard time....,"[seeker] Ok, I will look some of them online.  I need some financial planners to help as well. Many Americans are hurting.","[supporter] If you want other suggestions, meditation is something that is extremely overlooked and will help you before you even take the big leap to get support from a counselor or relative. Just taking deep breaths in a quiet area is a great way to clear your head and keep optimistic.",[seeker] Any other advices?,[seeker] What else can you advise me on?,[seeker] Should I look elsewhere for jobs?,[seeker] I will have to try that.  Maybe it can help me ease my mind.,"[supporter] Since a lot of this stress is being caused by your childhood trauma, it seems like there is something that connects that job to your trauma and if it cant be disconnected, it seems like you should find another job.",[supporter] And I understand that is not the easiest in these times but I believe you can do it!,[seeker] It is not easy right now. That's for sure.,[seeker] I am wondering if I could do Lyft or Uber.,"[seeker] I think a side hustle could work, perhaps?",[supporter] Do you think those jobs would help you disconnect your childhood trauma and work life?,,,,,,,129,Normal,I am in a crisis over my employer not having enough money to pay me.  It is really causing me to be fearful.,The uncertainty is messing with my whole life.,Not knowing when you will be paid is scary. What is the next bill or deadline you are most worried about?,Rent and utilities.,We can prioritize essentials and make a short list of steps for the next few days so it feels less chaotic.,TRUE,32,
[seeker] What do you recommend i do?,"[supporter] I recommend  searching online about meditation , also one of thing that helped the most for me was exercise and eating healthy.",[seeker] Ive tried meditation but cant seem to calm down. Exercise help for a bit but then my anxiety comes back.,[supporter] I remember many times i thought the same way as you but i didnt give up and kept trying. As long as you dont give up you will make progress. It will take time and patience.,[seeker] Wow its so nice to talk to someone who had the same issues. Are there any other suggestions you might recommendo?,"[supporter] OF course , for example i watched youtube videos of someone called theanxietyguy and i made tremendous progress with him. Also i drink teas to calm my nerves .",[seeker] Thank you!! im going to look him up . Has your anxiety come back?,[supporter] Somethings its want to come back but i am on top of it and always being discipline with myself. I make sure to love myself first and give myself priority.,[seeker] Thank you for everything .I am now motivated to get going.,[supporter] You are welcomed i am glad i was able to help out. Stay positive and healthy.,[seeker] What kind of teas do you drink to help with anxiety?,"[supporter] I drink a lot of chamomile tea with honey which has a great flavor good to calm done, i drink mint tea very refreshing and tilo tea which helps me sleep.","[seeker] I never tried tea , this new for me . I will definitely order some online. DO you have any other suggestions?",[supporter] Yes of course. If you worried about some kind of sickness i would recommend you go to the doctor get yourself a full checkup  it will help calm you mind down and reassure you that you are healthy.,[seeker] That a greay idea. My health anxiety its at all high levels everything i see about a sickness i get worry especially with this covid -19. I barely go out and get nervous. Has that happened to you?,"[supporter] Yes, once in while i get nervous about but i try to keep positive and take the right precautions and wear my mask, clea my hands and stay my distance. you shouldnt have a issues .",,,,,457,Normal,I am suffering from health anxiety and staying home and aftiad of going out,"Some days I manage, then anxiety spikes again.","That back and forth is common with health anxiety. What sets it off most, news or body sensations?","Both, especially news and feeling off.",You could try limiting news and using a short grounding routine when symptoms trigger you. Would you like a simple routine to try?,TRUE,33,
[supporter] So you just feel as though there is nothing to look forward to at the moment?,"[seeker] yes, it's all doom and gloom there no good news nothing to look forward to","[supporter] I have to admit that I have been feeling much this way myself. It has been a very long year, hasn't it?","[seeker] it has been a long year and i fear it will be a dark, deadly winter","[supporter] There is the new year to look forward to. It might bring new things - there might be a vaccine, for instance.","[seeker] that woudl help, but i have been discouraged by the number of people who aren't following the science",[seeker] why aren't they wearing masks?,[supporter] So you feel that there are a lot of ignorant people out there who are making things worse by refusing to follow the rules?,[seeker] yes. things are bad and those peole are making it worse by not following the rules or advice,[supporter] All we can really do is to follow the rule ourselves and so help to make things better for people!,[seeker] we are currently quarantined because my son was exposed to a coworker who tested positive. we should know in a couple of day if he's positiv or not,"[supporter] That must feel very difficult for you. Do you have anyone around who can support you, even if just by leaving groceries outside of your door?",,,,,,,,,613,Normal,covid depression,"It is hard to keep my son entertained, and I feel drained.","That is exhausting, especially when you are already low. What has helped even a little so far?","Online games together, but it is not enough.",Maybe add one short indoor activity with movement each day. Even ten minutes can shift the mood for both of you.,TRUE,34,
"[seeker] I feel like my university career is a dead end, job-wise. Even though I am a STEM major, I feel like I'm wasting my time putting all this effort into education.","[supporter] What is your career, if you don't mind me asking?",[seeker] I study civil engineering.,[supporter] That sounds like a very difficult major to study. That's a very notable goal!,[seeker] Thank you. Did you ever have to go through a similar kind of experience?,[supporter] I have had a similar experience. I am studying to become a certified optician at the moment.,[supporter] Is there anything in particular that is making you feel this way towards your goal?,"[seeker] Probably, the fact that my degree does not make me stand out among other applicants. It is an expectation nowadays. And the fact that I am putting so much resources into it, without the guaranteed payoff, makes me extremely nervous.","[supporter] It sounds like you're worried a lot about your career's future, if that sounds correct?","[seeker] Yes, that's the situation.",[supporter] I think that's a completely normal feeling. It shows that you really care about your future and where you're going.,"[seeker] I assume, everyone goes through that to a certain extent.",[supporter] It is! How long have you been studying civil engineering?,,,,,,,,428,Normal,I am scared that all of my academic accomplishments will amount to nothing,The job market feels so competitive that I doubt myself.,"That pressure can make your achievements feel invisible. What would help you feel more prepared, internships, projects, or networking?","Internships, I think, but I am nervous.",Starting small can help. You could apply to a few and also talk to one person in the field to get a clearer picture.,TRUE,35,
"[supporter] I understand how you're feeling, COVID has affected me negatively as well but I'm just trying to look at the bright side.","[seeker] yes it has on us all. I guess the other thing is that my city has been doing fine so far, but just the past two weeks or so has been more and more cases, so just getting stressed and depressed with that and prospects of a second shut down.","[seeker] so yes, the second wave is here it seems (belatedly), but hopefully it doesn't get worse, because I have seen worse in other places right now","[supporter] Yes, I would suggest taking up yoga or meditation to lessen the stress COVID has on your brain.","[seeker] so I suppose just trying to cope with that also because I get nervous having to go out for work or errands, and I also have to write my exam outside of my home.","[seeker] ok. I could look into that. I work out in general, but have been slacking off on those ever since the pandemic started this year.","[supporter] Yes, I'd recommend wearing a mask whenever you go out to lessen the chance of you contracting anything. At the moment, it's all we could do.",[seeker] yes and I have been and will continue to do that.,[supporter] that's great!,"[seeker] But aside from these stressors, I think I have a better idea now on how I should proceed, starting today","[supporter] that's amazing, I'm glad I could help put your mind at ease.","[seeker] not that I haven't, but just with more renewed faith and having fresh priorities in my head.",[seeker] yes thank you very much for listening and understanding with my issues.,"[supporter] Of course, sometimes we all just need to talk to someone.",,,,,,,937,Normal,Catching up with academic deadlines,"I made a schedule, but focusing is still hard.","You are doing a lot already. When focus slips, is it worry, tiredness, or distractions?",Worry and distractions.,Try shorter study bursts with small breaks. It can make it easier to restart when your mind drifts.,TRUE,36,
"[supporter] Do you live alone? Did you work at home before COVID? I worked at home before COVID but with COVID I became very isolated. I don't have any neighbors within sight of my house. This my sound weird but I make up  fantasies in my head like I am an alien's pet and my home is my habitat or I pretend I am hiding out  keeping something safe, or a pioneer woman waiting for her family to get back from the store which is a six  month trip.","[seeker] I live with my spouse, and I did work at home before. Pioneer story funny! It is hard not being able to enjoy going out.","[supporter] I am glad you are able to work, financial stress really sucks. I think Covid has us all down at least at some point.",[seeker] Just want it to be over and then the election too!,[seeker] There has been so much emotional things in the world going on right now,"[seeker] BLM, election Covid...","[supporter] Yes, and it doesn't seem to have an end in sight. But at some point it will be over. If you don't feel more like yourself say a month from now I have to seeing a doctor because some depression requires it but that said some depression is normal and usually precedes change. I was told that it sort of erases our expectations and allows us to accept the new thing in a better way.",[seeker] I would say when i take a walk at the park it does help,[seeker] Also working out,[seeker] So exercise and sunshine brings my mood up a bit,[supporter] You sound  stressed over things that you have little to no control over. Take a deep breath. Tickle each other. Pretend you are the adam and eve couple traveling to populate a new world and the house is your spaceship run with it and have some adult play time lose yourselves and destress. It is good that you can enjoy the sunshine and the park. You can only control and influence what happens around you. Concentrate on making that a good place to be and that will change the world a little at a time.,[seeker] good advice,[seeker] I will try,"[supporter] Just hoping to make you feel better and help with some of your worries that don't need to add to your stress. So you don't seem to be depressed as much as stressed and worried which is interfering with things, would that be accurate or could you explain more?","[seeker] Yes, things that I cannot change and the things I can change, including a more positive attitude","[supporter] Positive attitudes are never bad, slightly annoying to some first thing in the morning but in a good way. lol","[seeker] Yes, I need coffee first! Thank you for your advice!",[supporter] Coffee sounds good. You are welcome and thank you for sharing!,,,645,Normal,just can not get out of a bad mood,Going outside seems to help more than anything.,"That is a helpful signal. After a short walk, what changes first, your thoughts or your body?","My body relaxes, then my head clears.","That is worth building on. Could you pick a regular time for a brief walk, even if it is short?",TRUE,37,
"[supporter] I know how hard this is, but I also know you can get through it!","[seeker] yes. i working in good company and earning nice pay , but still he cheated me .",[seeker] but how can i overcome this ? my heart is not yet all agree for this,"[supporter] I recently went through the same kind of break up where my fiancé cheated on me and got pregnant with another man, so I know how much this hurts.","[supporter] Have you been able to talk to him about why he decided to leave you? Sometimes it helps to get closure on a situation like this,",[seeker] is it ? how did u overcome from this,"[seeker] yes i spoken , he saying he need more money  which i have not much .only money he left me",[supporter] So what you are saying is that the only reason he left you was because you were not financially stable enough for him.,[seeker] yes. what ever i earning every month i sent to him .he sold my house too and enjoyed that money as well,[supporter] You seem like a really great person for doing all of that for him and you definitely deserve someone who is in it for much more than just money!,[seeker] but i am not in mood to trust anybody because i loved him since 15 years,[supporter] Have you been able to talk to any of your close friends or family about the situation? Sometimes it helps to talk to someone close to you about things like this.,"[seeker] i told to my mom , she said we already knew that he is a money minded .So take lite and move forthuer",[supporter] That sounds like really great advice from your mother!,[supporter] I also found it helped me a lot when going through my situation to get really involved in my hobbies to take my mind off things.,"[seeker] yea , my parents always supported me .I would have listened their voices earlier",[supporter] It is great to have supportive parents!,[seeker] yes will start my reading habit  may it willbe helped me lot,[supporter] Good idea,,503,Normal,"when i was in school we both joined school on same day .we were sit beside each other and became good friends from on words .we completed schooling and started living together, we settled in good jobs too .we were so happy and loved each other.But he met an colleague in office and started cheating me , because she has lot of money .That broke my heart.We separated .I went to depression in this covid time","I want to move forward, but the betrayal keeps pulling me back.","That kind of betrayal can shake your sense of safety. What do you miss most, the person or the life you thought you had?",The life I thought we had.,"Grieving that future is real grief, and it makes sense it keeps pulling you back. For this week, would it feel more healing to do something that soothes you (rest, comfort, support) or something that helps you rebuild you (routine, small goals, new connection)? We can pick one small step either way.",TRUE,38,1
"[seeker] Yes, very. If I were to get fired. I have no idea what to do for my future.",[supporter] I completely understand as I was in the same situation when the pandemic started and I wasn't sure if I was going to keep my job.,"[seeker] Where I live, we currently have a lock down. I feel like small businesses will be forced to shut down. Economy is getting worse. My anxiety is getting worse.",[supporter] What industry do you currently work in?,[seeker] Finance.,"[supporter] I know this is an extremely hard situation, but I know you can make it through it!",[seeker] I doubt it. But thanks for the positive vibes.,[seeker] Is there a lock down where you live?,"[supporter] Yes, we are currently in a lock down.",[supporter] Have you had a talk with your supervisor about the situation?,"[seeker] Yes, but he can only do so much to be honest.","[supporter] Something I used to do when I was struggling with anxiety over this was come home and play video games, which is something I really enjoy doing. Have you tried to really dive into more activities that you enjoy?",[seeker] I do sometimes. Which games do you recommend?,"[supporter] I play a lot of sports games, mostly racing.",,,,,,,509,Normal,"Due to this pandemic, I fear for my job.",I cannot focus at work because I keep thinking about layoffs.,"That constant worry can keep your body in alert mode. When does it feel worst, mornings, meetings, or at the end of the day?",Mornings are brutal.,A short reset before starting work may help. Would you like a simple one minute routine to try each morning?,TRUE,39,
[seeker] I am anxious about an upcoming test.,[supporter] It's normal to feel nervous whenever we have an important assessment coming.,[supporter] I myself would always be really anxious whenever I had any finals back in college.,"[seeker] Yes I have a bunch of courses that I need to do for my work, it certainly keeps me busy.","[supporter] I would suggest that you study as much as you can. The more prepared you are for that test, the more manageable you will find it and the less stressed you will feel.",[seeker] Yes I am pretty good about that but it just kills my free time because I am working full time.,"[supporter] I understand. However, you need to be able to find some time dedicated to your school activities. You are the one who needs to decide how to insert it in your schedule.",[seeker] Yes honestly I am the main driver behind me doing all this schooling it is just going to be good for my career and I don't just want to stand still.,"[supporter] I agree, once you have your career set up you won't have to worry about working and studying anymore. You will be doing what you like for a good living. Think about the future.",[seeker] That is certainly the plan,"[supporter] Just remember not to stress too much about it. It's just one test at the end of the day, you can do this!","[seeker] Yes I am not super worried about it it is more the stress from not having free time, also insurance textbooks are not extremely exciting.","[supporter] I know that I told you to try to fit school time into your schedule, but the same goes with leisure time for yourself. Find an activity that you enjoy and try to dedicate at least an hour a day to it, be it exercising, playing videogames, reading a book.",,,,,,,,142,Normal,I am currently studying for an exam that I need to do for work.,Free time feels fake because the coursework is constantly haunting me in the background.,"It's like a background app draining your battery. Even when you aren't 'working', you're stressing. What's your go-to method to force a system shutdown?","TV used to work, but now even that doesn't drown out the study guilt.","If passive watching fails, try active blocking. Set a timer for 15 minutes of 'guilt-free nothingness'. Literally stare at a wall if you have to. Reset the brain.",TRUE,40,
